time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-23 00:00:00+00:00,11,5,26.0,5.0
2025-10-24 00:00:00+00:00,26,6,4.0,2.0
2025-10-25 00:00:00+00:00,5,5,2.0,2.0
2025-10-26 00:00:00+00:00,12,7,14.0,3.0
2025-10-27 00:00:00+00:00,12,7,1.0,1.0
2025-10-28 00:00:00+00:00,9,4,17.0,4.0
2025-10-29 00:00:00+00:00,10,5,7.0,2.0
2025-10-30 00:00:00+00:00,5,5,23.0,4.0
2025-10-31 00:00:00+00:00,9,8,11.0,5.0
2025-11-01 00:00:00+00:00,2,2,,
2025-11-02 00:00:00+00:00,19,9,4.0,4.0
2025-11-03 00:00:00+00:00,35,12,13.0,6.0
2025-11-04 00:00:00+00:00,7,5,45.0,5.0
2025-11-05 00:00:00+00:00,5,5,39.0,5.0
