time_iso8601,stars_cumulative
2024-01-09 00:00:00+00:00,1
2024-01-10 00:00:00+00:00,2
2024-01-12 00:00:00+00:00,5
2024-06-29 00:00:00+00:00,6
2024-07-30 00:00:00+00:00,7
2025-01-20 00:00:00+00:00,8
2025-02-18 00:00:00+00:00,9
2025-10-19 00:00:00+00:00,10
2025-10-21 00:00:00+00:00,11
2025-11-02 00:00:00+00:00,12
2025-11-13 00:00:00+00:00,13
2025-11-25 00:00:00+00:00,14
2026-02-27 00:00:00+00:00,15
2026-03-04 00:00:00+00:00,16
2026-03-30 00:00:00+00:00,17
2026-04-11 00:00:00+00:00,18
2026-04-24 00:00:00+00:00,19
2026-04-25 00:00:00+00:00,21
2026-04-27 00:00:00+00:00,23
2026-04-28 00:00:00+00:00,26
2026-04-29 00:00:00+00:00,27
2026-04-30 00:00:00+00:00,28
2026-05-06 00:00:00+00:00,30
2026-05-07 00:00:00+00:00,31
2026-05-13 00:00:00+00:00,34
2026-05-19 00:00:00+00:00,35
2026-05-21 00:00:00+00:00,36
2026-05-24 00:00:00+00:00,37
2026-06-07 00:00:00+00:00,38
2026-07-08 00:00:00+00:00,39
2026-07-09 00:00:00+00:00,40
2026-07-22 00:00:00+00:00,41
2026-08-24 00:00:00+00:00,42
